Year,half-marathon time,marathon time
2008,1:01:07,02:12:51
2008,1:01:08,02:07:33
2008,1:01:24,02:08:59
2008,1:03:12,02:13:14
2008,1:09:57,02:27:11
2008,1:10:25,02:27:47
2008,1:13:32,02:35:13
2008,1:13:36,02:41:12
2008,1:13:48,02:37:31
2008,1:14:23,02:40:29
2008,1:14:44,03:23:27
2008,1:15:17,03:04:27
2008,1:15:23,02:45:34
2008,1:16:19,02:53:31
2008,1:17:08,02:45:16
2008,1:17:13,02:43:45
2008,1:17:15,02:49:06
2008,1:17:15,02:39:16
2008,1:17:18,02:42:45
2008,1:17:32,02:43:30
2008,1:17:37,02:48:02
2008,1:18:01,02:44:12
2008,1:18:11,02:46:48
2008,1:18:26,02:45:38
2008,1:18:32,02:46:44
2008,1:18:35,02:56:54
2008,1:18:35,02:46:54
2008,1:18:45,02:47:37
2008,1:18:46,03:17:38
2008,1:18:48,02:57:50
2008,1:18:53,02:43:56
2008,1:18:54,02:46:57
2008,1:18:54,02:44:34
2008,1:18:55,02:59:55
2008,1:18:56,02:57:42
2008,1:19:02,02:47:10
2008,1:19:18,03:46:56
2008,1:19:18,03:41:16
2008,1:19:21,02:46:17
2008,1:19:27,02:56:32
2008,1:19:30,02:37:31
2008,1:19:35,02:53:41
2008,1:19:35,02:39:48
2008,1:19:40,02:43:20
2008,1:19:55,02:52:22
2008,1:19:55,02:51:18
2008,1:19:57,02:58:00
2008,1:20:06,03:08:39
2008,1:20:24,02:58:19
2008,1:20:25,02:59:06
2008,1:20:30,02:57:54
2008,1:20:33,03:15:00
2008,1:20:34,02:55:46
2008,1:20:43,03:19:20
2008,1:20:44,02:53:48
2008,1:20:44,02:46:51
2008,1:20:45,02:52:19
2008,1:20:46,03:28:24
2008,1:20:47,02:41:40
2008,1:20:51,03:27:56
2008,1:20:58,03:01:27
2008,1:21:12,03:27:33
2008,1:21:15,03:31:59
2008,1:21:19,02:57:53
2008,1:21:22,03:08:46
2008,1:21:22,02:54:31
2008,1:21:25,02:50:07
2008,1:21:26,02:53:50
2008,1:21:27,02:56:08
2008,1:21:28,02:58:09
2008,1:21:29,02:59:48
2008,1:21:37,02:48:41
2008,1:21:40,02:53:20
2008,1:21:40,02:39:03
2008,1:21:46,02:57:07
2008,1:21:47,02:55:29
2008,1:21:47,02:54:09
2008,1:21:48,03:13:45
2008,1:21:52,02:52:33
2008,1:21:53,03:06:27
2008,1:21:54,03:42:55
2008,1:21:56,03:04:11
2008,1:21:59,02:56:04
2008,1:22:00,02:54:44
2008,1:22:06,02:50:35
2008,1:22:10,02:54:15
2008,1:22:15,03:26:53
2008,1:22:24,03:26:53
2008,1:22:28,02:58:07
2008,1:22:28,02:48:01
2008,1:22:29,03:01:42
2008,1:22:31,02:57:00
2008,1:22:33,02:55:10
2008,1:22:34,03:09:51
2008,1:22:36,03:14:17
2008,1:22:38,02:58:53
2008,1:22:42,02:53:18
2008,1:22:42,02:51:05
2008,1:22:45,03:05:19
2008,1:22:47,02:55:13
2008,1:22:50,03:11:07
2008,1:22:50,02:58:57
2008,1:22:51,03:45:26
2008,1:22:54,03:55:01
2008,1:22:54,03:19:36
2008,1:22:54,03:17:17
2008,1:22:54,02:53:16
2008,1:22:58,03:09:33
2008,1:23:03,03:08:17
2008,1:23:05,02:57:24
2008,1:23:08,02:56:48
2008,1:23:08,02:53:04
2008,1:23:08,02:52:19
2008,1:23:10,03:03:20
2008,1:23:14,02:55:25
2008,1:23:15,03:12:11
2008,1:23:15,03:02:09
2008,1:23:15,02:59:13
2008,1:23:17,02:59:06
2008,1:23:18,03:01:35
2008,1:23:18,02:58:46
2008,1:23:20,03:08:25
